bucket	score	src_line	src_heading	src_text	best_tgt_line	best_tgt_text
unique	0.42	392	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	Exponent notation makes DuckDB use the DOUBLE parser directly. Verified exact	582	> StructArrays.components(sa) hands back the per-field arrays directly. That is why
duplicated	0.87	393	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	over 2005 values including 0.0, -0.0, 1e308, 5e-324, and 1/3 — 0	1084	Verified exact over 2005 values including 0.0, -0.0, 1e308, 5e-324 and 1/3 —
duplicated	0.89	394	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	mismatches, for both the exponent form and the quoted-string form.	1085	0 mismatches, for both the exponent form and the quoted-string form. NaN/±Inf were
unique	0.43	396	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	Consequence for codegen. dbdict's literal writer tier — the universal	1099	Inserting the naive struct literal into a STRUCT(x DOUBLE) column gives
overlap	0.51	397	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	fallback, and the only path available for several column types — must serialize	45	pick a write path for a column type | §4.1 matrix, then §8.1 tiers
unique	0.47	398	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	DOUBLE/FLOAT in exponent notation (or as a quoted string cast). Emitting	496	FLOAT / DOUBLE | ✅ | n/a | ✅ | ✅ | ⚠️ exponent notation required (§5.2.1)
unique	0.44	399	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	string(x) corrupts data silently: no error, no warning, values that are wrong	116	- string(x) for a float in generated SQL (silently loses 1 ULP)
overlap	0.52	400	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	in the last bit. NaN/±Inf were already special-cased and are unaffected.	1086	already special-cased and are unaffected. This is a DuckDB behaviour, not a DuckDB.jl
overlap	0.57	402	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	> This one is a DuckDB behaviour, not a DuckDB.jl bug, so it is not an	1086	already special-cased and are unaffected. This is a DuckDB behaviour, not a DuckDB.jl
overlap	0.56	403	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	> upstream-issue candidate for the driver — but it belongs in the reference	1087	bug, so it is not an upstream candidate for the driver — but every generated SQL writer
unique	0.47	404	DuckDB.jl 1.5.2 — phase 1 verification findings > 6. Literal SQL silently loses 1 ULP on DOUBLE values	> doc's gotcha list, because any generated SQL writer hits it.	974	error checking in generated code can recover from it.
